author;district;street;house_number;underground;floor;floors_count;rooms_count;total_meters;price_per_month;materials
ID 12789401;Кировский;проспект Маршала Жукова;36к1;;2;9;1;43.0;35000;кирпичный
Алевтина Картышева;Выборгский;Заречная;33;Парнас;13;27;1;40.0;30000;кирпичный
Твой ДОМ;Выборгский;Сиреневый бульвар;10;Проспект Просвещения;9;16;1;46.2;36000;кирпичный
ID 59360647;Выборгский;Федора Абрамова;21к1;Парнас;17;29;1;35.0;30000;кирпичный
ID 61075895;Петродворцовый;Ропшинское шоссе;10;Проспект Ветеранов;2;5;1;38.0;35000;кирпичный
ID 13868147;Петродворцовый;Братьев Горкушенко;5к1;Проспект Ветеранов;3;5;2;67.0;30000;кирпичный
FLATSTORE;Центральный;набережная Реки Фонтанки;45;Гостиный двор;3;5;2;80.0;120000;кирпичный
ID 12904745;Фрунзенский;Альпийский переулок;9К3;Проспект Славы;7;9;1;37.0;34000;кирпичный
Петербургская Недвижимость;Выборгский;проезд Толубеевский;34к1;Парнас;9;17;1;36.0;30500;кирпичный
ID 4887100;Красносельский;Политрука Пасечника;16;Проспект Ветеранов;4;5;2;50.0;30000;кирпичный
ID 68476225;Невский;Октябрьская набережная;122к1;Ломоносовская;14;17;1;32.0;34000;кирпичный
АДРЕС ПЛЮС;Адмиралтейский;проспект Римского-Корсакова;29;Садовая;3;3;2;77.0;120000;кирпичный
Юнона;Кронштадтский;Мартынова;13;;5;5;2;45.4;40000;кирпичный
ID 127332507;Красносельский;Тамбасова;3к1;Проспект Ветеранов;5;10;1;45.8;38000;кирпичный
ID 12020280;Пушкинский;Ростовская;14-16;Шушары;9;9;2;60.0;27000;кирпичный
ID 11457114;Выборгский;Шишкина;301;Парнас;6;25;1;36.2;30000;кирпичный
Ооо цун Ооо цун;Выборгский;Выборгское шоссе;5К4;Озерки;3;5;4;146.0;85000;кирпичный
Итака;Кировский;проспект Ветеранов;88;Проспект Ветеранов;8;9;1;34.0;28000;кирпичный
ID 13611666;Выборгский;Шишкина;;Парнас;10;27;1;27.0;25000;кирпичный
NEDmax;Центральный;Саперный переулок;6;Чернышевская;2;4;1;31.0;80000;кирпичный
ЮСОН;Калининский;Руставели;50;Гражданский проспект;7;9;1;32.4;35000;кирпичный
Этажи Санкт-Петербург;Невский;Дальневосточный проспект;19к1;Проспект Большевиков;5;19;1;27.0;35000;кирпичный
Адвекс;Василеостровский;Капитанская;4;Приморская;9;12;1;39.0;45000;кирпичный
Экотон;Красносельский;Ленинский проспект;64к1;Ленинский проспект;9;23;1;33.0;35000;кирпичный
ID 91992632;Колпинский;дорога Балканская;12к2;Рыбацкое;2;12;1;21.0;22000;кирпичный
ID 64710883;Колпинский;проспект Ленина;15.9;Шушары;3;4;1;43.0;28000;кирпичный
Елисеевский квартал;Центральный;Парадная;3к2;Чернышевская;4;7;2;76.0;150000;кирпичный
Remiz;Невский;Русановская;11;Ломоносовская;12;23;1;32.0;30000;кирпичный
Итака;Московский;Пулковское шоссе;80;Купчино;3;5;2;43.0;30000;кирпичный
ID 14048334;Пушкинский;Московское шоссе;268;Шушары;9;10;1;32.0;23000;кирпичный
NEDmax;Центральный;Полтавский проезд;2;Площадь Восстания;2;14;2;52.0;100000;кирпичный
Адвекс;Невский;Ивановская;13;Ломоносовская;3;6;1;50.0;40000;кирпичный
ID 86727669;Невский;проспект Советский;34к3;Рыбацкое;17;26;1;24.0;25000;кирпичный
Панорама;Василеостровский;Одоевского;21к1;Приморская;6;11;1;43.0;85000;кирпичный
МАКРОМИР НЕДВИЖИМОСТЬ;Центральный;Черняховского;26-28;Лиговский проспект;4;4;3;80.0;85000;кирпичный
ЭЛИТцентр;Центральный;Чайковского;79;Чернышевская;2;5;3;70.0;80000;кирпичный
НЕВАДА-ЦЕНТР;Василеостровский;7-я Васильевского острова линия;34;Василеостровская;4;10;3;100.0;140000;кирпичный
ID 129651842;Выборгский;Валерия Гаврилина;13к1;Парнас;6;24;1;32.5;30000;кирпичный
BE HOME;Выборгский;Северный проспект;4к1;Озерки;11;14;3;112.0;80000;кирпичный
ID 93162203;Выборгский;Шишкина;293;Парнас;25;25;1;35.2;35000;кирпичный
ID 50879153;Пушкинский;Ростовская;22;Шушары;1;10;1;42.4;31000;кирпичный
Русский Фонд Недвижимости;Пушкинский;Оранжерейная;62;Купчино;4;5;1;31.0;30000;кирпичный
ID 16388590;Пушкинский;Саперная;36к1;Купчино;2;4;1;43.0;34000;кирпичный
Либра Эстейт;Пушкинский;Ахматовская;6;Купчино;5;6;1;41.0;30000;кирпичный
Панорама;Калининский;Учительская;11;Гражданский проспект;13;14;1;41.2;28000;кирпичный
Будь первым;Василеостровский;Морская набережная;15;Приморская;9;12;2;55.0;60000;кирпичный
Аристократ;Кировский;Ленинский проспект;109;Проспект Ветеранов;3;16;3;80.0;65000;кирпичный
ID 95285573;Красносельский;Новобелицкая;6к1;Проспект Ветеранов;3;10;1;43.0;30000;кирпичный
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Центральный;Пушкинская;2/79;Маяковская;4;5;2;74.0;90000;кирпичный
BE HOME;Василеостровский;Наличная;55;Приморская;8;12;2;55.0;70000;кирпичный
МАКРОМИР НЕДВИЖИМОСТЬ;Адмиралтейский;Садовая;82Б;Балтийская;1;3;1;20.0;40000;кирпичный
Панорама;Центральный;переулок Басков;27;Чернышевская;1;6;1;49.0;150000;кирпичный
Петербургская Недвижимость;Пушкинский;Ростовская;3к2;Шушары;1;5;2;52.6;35000;кирпичный
ID 59486786;Колпинский;дорога Балканская;14к2;Рыбацкое;2;9;1;30.0;25000;кирпичный
ЭВО;Приморский;3-й Озерковский переулок;1к1;Озерки;5;5;3;85.0;120000;кирпичный
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Адмиралтейский;Декабристов;17;Садовая;4;4;1;55.0;73000;кирпичный
Аватерра;Выборгский;Федора Абрамова;23к1;Парнас;20;27;1;39.0;30000;кирпичный
ЮСОН;Приморский;Коломяжский проспект;15к1;Пионерская;3;25;2;65.0;58000;кирпичный
Петербургская Недвижимость;Кировский;Зины Портновой;11;Ленинский проспект;9;9;2;47.3;49000;кирпичный
Екатерина Стрелкова;Центральный;Достоевского;27;Владимирская;2;5;2;71.0;135000;кирпичный
ID 59737191;Московский;Пулковское шоссе;38к2;Звездная;19;24;1;30.0;33000;кирпичный
BE HOME;Адмиралтейский;Мастерская;9;Балтийская;3;6;-1;38.3;110000;кирпичный
8 ЭТАЖ;Центральный;Жуковского;43;Площадь Восстания;5;6;4;100.0;170000;кирпичный
Мир Квартир Элит;Василеостровский;Гаванская;20;Горный институт;6;6;4;164.0;235000;кирпичный
BE HOME;Петроградский;Ординарная;7Б;Петроградская;2;5;2;68.6;115000;кирпичный
РКМ Недвижимость;Центральный;Херсонская;1.7;Площадь Восстания;5;6;3;100.0;150000;кирпичный
Мир Квартир PREMIUM;Центральный;Лиговский проспект;50к8Ж;Площадь Восстания;2;3;4;280.0;370000;кирпичный
BE HOME;Петроградский;Кронверкский проспект;53;Горьковская;2;4;3;63.0;120000;кирпичный
8 ЭТАЖ;Петроградский;Ленина;29;Чкаловская;4;6;2;61.5;150000;кирпичный
BE HOME;Василеостровский;1-я Васильевского острова линия;22;Спортивная;3;3;2;60.0;150000;кирпичный
Адвекс;Петроградский;Петровский проспект;5;Спортивная;4;9;2;58.0;145000;кирпичный
BE HOME;Московский;Пулковский меридиан;6;Парк Победы;3;6;3;95.6;165000;кирпичный
ID 75744412;Приморский;проспект Авиаконструкторов;54;Комендантский проспект;9;12;1;24.1;32500;кирпичный
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Центральный;Невский проспект;113/4;Площадь Восстания;3;4;2;60.0;150000;кирпичный
Адвекс;Петроградский;Съезжинская;36;Горьковская;3;7;4;149.6;190000;кирпичный
Мир Квартир Элит;Центральный;Большая Конюшенная;13;Гостиный двор;2;5;2;64.2;180000;кирпичный
BE HOME;Адмиралтейский;Английская набережная;20;Адмиралтейская;1;3;3;175.0;160000;кирпичный
NF GROUP  St Petersburg;Центральный;Невский проспект;53;Маяковская;4;4;5;181.3;180000;кирпичный
НЕВА Недвижимость;Центральный;набережная Реки Мойки;30;Адмиралтейская;5;6;2;67.3;175000;кирпичный
BE HOME;Адмиралтейский;Мастерская;9;Балтийская;1;6;1;47.0;180000;кирпичный
Петербургская Недвижимость;Выборгский;проезд Толубеевский;34к1;Парнас;9;17;1;34.6;31000;кирпичный
Мир Квартир PREMIUM;Петроградский;Петровский проспект;5;Спортивная;6;9;3;86.0;245000;кирпичный
Адвекс;Василеостровский;Морская набережная;35К3;Приморская;13;14;-1;204.0;200000;кирпичный
BE HOME;Василеостровский;проспект Малый Васильевского острова;90;Приморская;12;16;3;135.0;280000;кирпичный
Петербургская Недвижимость;Центральный;Миллионная;17;Адмиралтейская;3;4;3;153.0;250000;кирпичный
QASABO;Петроградский;Графтио;3;Петроградская;7;8;4;158.0;265000;кирпичный
Экотон;Московский;проезд Дизельный;11к1;Звездная;16;17;3;94.0;75000;кирпичный
ЮСОН;Фрунзенский;Альпийский переулок;41;Проспект Славы;7;14;2;60.0;85000;кирпичный
Екатерина Соловьева;Пушкинский;Ростовская;21к1;Шушары;5;9;2;53.0;30000;кирпичный
Городской Центр Недвижимости;Центральный;набережная Реки Мойки;27;Адмиралтейская;3;4;4;122.4;250000;кирпичный
BE HOME;Выборгский;Лиственная;18к1;Озерки;4;25;5;150.0;280000;кирпичный
Марина Воскресенская;Выборгский;Федора Абрамова;18к1;Парнас;23;25;1;27.0;30000;кирпичный
BE HOME;Адмиралтейский;Галерная;19;Адмиралтейская;3;5;2;77.0;90000;кирпичный
Динас;Пушкинский;Гусарская;8к2;Купчино;2;4;2;56.0;45000;кирпичный
BE HOME;Василеостровский;проспект Большой Васильевского острова;58/17;Горный институт;8;8;1;56.2;65000;кирпичный
BE HOME;Адмиралтейский;Мастерская;9;Балтийская;1;6;-1;20.3;100000;кирпичный
BE HOME;Пушкинский;;13;Василеостровская;2;4;2;56.0;90000;кирпичный
Этажи Санкт-Петербург;Центральный;Коломенская;15-17;Лиговский проспект;1;5;1;11.0;50000;кирпичный
ЮСОН;Калининский;Кондратьевский проспект;66к1;Лесная;16;16;1;51.0;45000;кирпичный
BE HOME;Василеостровский;проспект Большой Васильевского острова;58/17;Горный институт;1;8;1;35.0;90000;кирпичный
МИДОМ;Выборгский;Ярославский проспект;67;Удельная;1;11;2;78.8;95000;кирпичный
BE HOME;Центральный;Лиговский проспект;83Г;Лиговский проспект;1;4;1;30.0;70000;кирпичный
Оксана Смирнова;Выборгский;Есенина;1к1;;3;21;3;96.0;90000;кирпичный
ЮВИКОЛ;Колпинский;Южная;19;Рыбацкое;2;5;2;45.0;45000;кирпичный
АЛЕКСАНДР-НЕДВИЖИМОСТЬ;Приморский;Ланское шоссе;14к1;Черная речка;3;17;1;48.1;60000;кирпичный
BE HOME;Красногвардейский;проспект Энергетиков;2к1;Ладожская;7;14;1;42.0;75000;кирпичный
Анатолий Янковский;Выборгский;проспект Энгельса;63К2;Удельная;7;9;3;65.1;65000;кирпичный
Итака;Выборгский;Михаила Дудина;25к2;Парнас;8;25;3;80.0;100000;кирпичный
ID 51601757;Красносельский;Партизана Германа;37А;Проспект Ветеранов;3;9;4;102.0;95000;кирпичный
Этажи Санкт-Петербург;Центральный;Коломенская;15-17;Лиговский проспект;1;5;1;11.0;60000;кирпичный
Capital Mars;Невский;Товарищеский проспект;3К1;Проспект Большевиков;2;16;1;38.0;33000;кирпичный
Домклик Аренда;Невский;Русановская;18к8;Пролетарская;4;24;1;30.6;33000;кирпичный
Леонид Сидоров;Выборгский;Федора Абрамова;18к1;Парнас;19;25;1;40.0;33000;кирпичный
ID 125604282;Московский;Новоизмайловский проспект;18К2;Парк Победы;1;5;1;31.0;38000;кирпичный
ID 65659582;Центральный;Правды;1.11;Владимирская;1;4;1;10.0;35000;кирпичный
ID 26284697;Калининский;Вавиловых;7к4;Академическая;3;19;1;34.7;35000;кирпичный
Айгуль Закиржанова;Кировский;проспект Ветеранов;47;Проспект Ветеранов;7;12;2;42.6;35000;кирпичный
ЛенКвартирТорг;Пушкинский;Ростовская;22;Шушары;2;9;1;43.0;35000;кирпичный
ID 11226701;Калининский;Меншиковский проспект;1;Площадь Мужества;5;14;1;35.8;35000;кирпичный
ID 109553012;Пушкинский;Изборская;3к1;Шушары;9;10;2;45.0;35000;кирпичный
ID 73305992;Фрунзенский;Загребский бульвар;21;Дунайская;15;17;1;23.0;35000;кирпичный
ID 59744186;Фрунзенский;Турку;11к2;Международная;10;10;1;31.4;35000;кирпичный
ID 48342412;Василеостровский;Нахимова;1;Приморская;4;12;1;18.0;35000;кирпичный
ID 127555665;Кировский;Стойкости;15;Проспект Ветеранов;7;9;1;33.0;35000;кирпичный
Capital Mars;Кировский;Стойкости;15;Проспект Ветеранов;7;9;1;35.0;35000;кирпичный
Русский Фонд Недвижимости;Московский;Варшавская;19к5;Электросила;7;10;1;39.0;35000;кирпичный
Северный модерн;Выборгский;проспект Просвещения;41;Проспект Просвещения;8;10;2;45.0;35000;кирпичный
ID 79257541;Приморский;Ланская;10;Пионерская;5;5;1;32.0;35000;кирпичный
ID 114006959;Фрунзенский;Курская;31;Обводный канал;1;4;1;10.0;35000;кирпичный
ID 107604350;Петроградский;Красного Курсанта;20;Чкаловская;2;4;1;16.0;36000;кирпичный
ID 72329890;Петродворцовый;Чебышевская;3к2;;8;9;2;50.0;39000;кирпичный
ID 13768461;Пушкинский;Саперная;4;Купчино;1;4;2;43.0;35000;кирпичный
ID 82543787;Красносельский;Авангардная;6К2;Ленинский проспект;1;10;2;55.0;35000;кирпичный
Capital Mars;Приморский;проспект Авиаконструкторов;61;Комендантский проспект;4;12;1;27.0;36000;кирпичный
Невский Альянс;Кировский;проспект Стачек;;Ленинский проспект;4;16;1;38.0;35000;кирпичный
ID 16440552;Московский;Взлетная;13;Звездная;2;5;2;56.0;39800;кирпичный
Юлия Буяльская;Выборгский;Валерия Гаврилина;13к1;Парнас;23;23;1;42.0;36000;кирпичный
Адвекс;Выборгский;Есенина;1к1;Озерки;7;25;1;48.1;36000;кирпичный
Русский Фонд Недвижимости;Кронштадтский;Восстания;26;;1;5;2;43.7;40000;кирпичный
Русский Фонд Недвижимости;Кронштадтский;Восстания;74;;4;5;2;43.0;40000;кирпичный
ЛенКвартирТорг;Приморский;Оптиков;37;Комендантский проспект;6;25;1;29.0;37000;кирпичный
ID 18369075;Выборгский;Валерия Гаврилина;15;Парнас;16;27;1;38.2;40000;кирпичный
ID 79154632;Кировский;Губина;19/16;Нарвская;1;2;2;48.0;36000;кирпичный
Марина Боброва;Выборгский;Северный проспект;18.1;Озерки;14;14;1;41.0;35000;кирпичный
ID 87246496;Приморский;Богатырский проспект;39к2;Комендантский проспект;11;17;1;39.0;35000;кирпичный
ID 93744474;Невский;проспект Большевиков;57к3;Ломоносовская;6;10;1;38.0;40000;кирпичный
ID 7088740;Выборгский;Новороссийская;2;Пионерская;5;6;2;46.0;40000;кирпичный
ID 10321038;Выборгский;Есенина;1к1;Озерки;4;26;1;45.0;40000;кирпичный
ID 86107127;Пушкинский;Гуммолосаровская;11;Купчино;1;4;2;42.0;35000;кирпичный
ID 27271000;Невский;Шлиссельбургский проспект;37;Рыбацкое;11;12;1;37.0;40000;кирпичный
ID 57901998;Фрунзенский;Боровая;52;Обводный канал;2;6;1;26.0;40000;кирпичный
ID 65288336;Калининский;Софьи Ковалевской;14К1;Академическая;6;14;1;36.0;40000;кирпичный
ID 87815882;Московский;Штурманская;26К1;Звездная;4;5;3;57.0;40000;кирпичный
ID 13835448;Пушкинский;Конюшенная;9/38;Купчино;3;4;1;30.0;35000;кирпичный
Этажи Санкт-Петербург;Приморский;Богатырский проспект;55к1;Комендантский проспект;2;17;1;46.3;37000;кирпичный
Адвекс;Выборгский;Асафьева;7к1;Проспект Просвещения;7;16;1;42.0;35000;кирпичный
ID 54007827;Невский;Прибрежная;10к3;Рыбацкое;10;16;1;42.0;37000;кирпичный
ID 127718106;Московский;Новоизмайловский проспект;36К2;Московская;3;5;1;31.7;38000;кирпичный
Capital Mars;Московский;проспект Космонавтов;37;Московская;6;25;1;33.0;40000;кирпичный
Петербургская Недвижимость;Московский;Варшавская;19к2;Электросила;7;17;1;24.5;37000;кирпичный
Анна Захарова;Фрунзенский;Альпийский переулок;13К2;Проспект Славы;2;9;1;33.0;37000;кирпичный
ID 101563827;Кировский;Генерала Симоняка;17;Проспект Ветеранов;3;9;2;46.0;35000;кирпичный
Дмитрий Парнас;Выборгский;проезд Толубеевский;14к1;Парнас;5;25;1;37.0;37000;кирпичный
ID 16378985;Приморский;Богатырский проспект;55к1;Комендантский проспект;11;22;1;35.0;37000;кирпичный
АБСОЛЮТ Сити;Калининский;Кондратьевский проспект;62К3;Лесная;3;18;1;40.0;38000;кирпичный
ID 349965;Московский;Среднерогатская;20;Звездная;12;17;1;29.7;40000;кирпичный
Capital Mars;Невский;Российский проспект;1;Проспект Большевиков;11;12;2;55.0;38000;кирпичный
Capital Mars;Невский;Русановская;20к1;Ломоносовская;10;24;1;23.0;40000;кирпичный
Адвекс;Выборгский;Михаила Дудина;25к1;Парнас;9;25;1;41.5;39000;кирпичный
ПРОФИЛЬ;Приморский;проспект Королева;21к1;Комендантский проспект;4;26;1;45.0;43000;кирпичный
ID 129046;Приморский;Савушкина;118;Беговая;5;10;1;39.0;38000;кирпичный
ID 469526;Кировский;Ленинский проспект;109;Проспект Ветеранов;10;25;2;48.0;37000;кирпичный
ID 75941308;Выборгский;Выборгское шоссе;17к1;Проспект Просвещения;18;25;1;47.0;39800;кирпичный
ID 99335402;Кировский;Ленинский проспект;120;Ленинский проспект;5;9;1;29.0;40000;кирпичный
Анжелика Щербакова;Красносельский;проспект Ленина;63к1;Проспект Ветеранов;2;5;1;31.0;40000;кирпичный
ID 11431906;Невский;Седова;59;Ломоносовская;12;12;1;36.0;40000;кирпичный
ID 101503334;Московский;Ленсовета;64;Звездная;11;14;1;36.9;35000;кирпичный
ID 43997249;Калининский;Михайлова;8;Площадь Ленина;2;5;1;16.0;40000;кирпичный
ID 18169916;Фрунзенский;Лиговский проспект;200Б;Обводный канал;1;6;1;17.0;43000;кирпичный
Capital Mars;Московский;Варшавская;6к1;Электросила;4;18;1;26.0;40000;кирпичный
Стандарт Девелопмент;Московский;Варшавская;17;Электросила;2;5;2;44.0;39000;кирпичный
DSM;Приморский;проспект Авиаконструкторов;69;Комендантский проспект;23;25;1;38.7;40000;кирпичный
ID 88807537;Московский;Варшавская;6к1;Электросила;4;18;1;26.0;40000;кирпичный
ID 47247087;Выборгский;Михаила Дудина;25к1;Парнас;16;25;1;41.5;39000;кирпичный
Алик Наматулин;Кировский;Лени Голикова;66;Проспект Ветеранов;4;9;1;40.0;40000;кирпичный
Ксения Цветкова;Приморский;Покрышева;6;Старая Деревня;2;5;2;45.0;40000;кирпичный
Capital Mars;Выборгский;Есенина;1к1;Озерки;4;24;1;50.0;40000;кирпичный
ID 54931377;Невский;Седова;24К3;Елизаровская;5;24;1;36.0;40000;кирпичный
ID 13429001;Выборгский;Шишкина;303к1;Парнас;5;25;2;45.0;40000;кирпичный
Дмитрий Парнас;Выборгский;проезд Толубеевский;26к1;Парнас;8;29;1;30.0;39000;кирпичный
ID 95111059;Пушкинский;Детскосельский бульвар;1;Купчино;5;10;1;37.5;39000;кирпичный
Итака;Московский;Фрунзе;6;Парк Победы;4;6;1;36.9;40000;кирпичный
Адвекс;Приморский;Ланское шоссе;2/57;Черная речка;3;5;2;43.0;40000;кирпичный
Capital Mars;Выборгский;Заречная;45к1;Парнас;19;28;1;43.0;40000;кирпичный
Capital Mars;Невский;проспект Большевиков;11к2;Улица Дыбенко;4;12;1;36.0;45000;кирпичный
Русский Фонд Недвижимости;Кронштадтский;Флотская;21;;5;5;2;46.6;40000;кирпичный
ПРОФИЛЬ;Выборгский;Учебный переулок;2;Озерки;3;18;1;51.0;45000;кирпичный
Людмила Никитина;Приморский;Савушкина;131;Беговая;7;14;2;53.0;45000;кирпичный
ID 17578962;Московский;Варшавская;122;Московская;2;7;1;40.0;40000;кирпичный
ID 117340131;Калининский;Федосеенко;26;Площадь Ленина;1;5;2;47.7;40000;кирпичный
ID 18570265;Выборгский;Железнодорожный переулок;12;Пионерская;19;21;1;42.0;40000;кирпичный
Станислав Насонов;Кировский;Промышленная;10;Нарвская;1;2;1;28.0;45000;кирпичный
ID 16251213;Центральный;6-я Советская;39;Площадь Восстания;1;6;1;15.0;41000;кирпичный
ID 23327558;Василеостровский;2-я Васильевского острова линия;9;Василеостровская;1;4;1;16.0;42000;кирпичный
ID 12955860;Пушкинский;Красносельское шоссе;63;Купчино;2;5;2;52.0;42000;кирпичный
ID 268556;Курортный;Токарева;1;Беговая;3;9;2;50.0;40000;кирпичный
ID 87391345;Красногвардейский;Малоохтинский проспект;10;Новочеркасская;2;4;2;58.0;40000;кирпичный
ID 129322164;Московский;проспект Космонавтов;61к1;Звездная;14;24;1;38.0;45000;кирпичный
Дмитрий Седлов;Московский;Ленсовета;54;Звездная;8;9;2;50.0;45000;кирпичный
ID 96372603;Московский;проспект Космонавтов;46;Московская;8;9;1;33.0;45000;кирпичный
ID 56349207;Выборгский;проспект Просвещения;46К1;Проспект Просвещения;5;12;2;44.9;40000;кирпичный
ID 16012217;Василеостровский;Наличная;17;Горный институт;1;4;1;72.0;35000;кирпичный
ID 13415760;Калининский;Вавиловых;7к4;Академическая;3;19;1;40.0;40000;кирпичный
ID 122298376;Петродворцовый;Блан-Менильская;1;;4;4;2;44.9;40000;кирпичный
ID 97479922;Кировский;проспект Ветеранов;109к1;Проспект Ветеранов;9;13;2;50.0;45000;кирпичный
ID 16251213;Центральный;6-я Советская;39;Площадь Восстания;1;7;1;14.0;41000;кирпичный
Руслана Ковалык;Приморский;проспект Авиаконструкторов;54;Комендантский проспект;8;12;1;36.0;45000;кирпичный
Capital Mars;Невский;Дальневосточный проспект;25к1;Улица Дыбенко;14;22;1;46.0;41000;кирпичный
Capital Mars;Кировский;проспект Ветеранов;114К3;Проспект Ветеранов;6;18;1;36.0;43000;кирпичный
ID 97700027;Василеостровский;Нахимова;1;Приморская;5;12;1;20.0;43000;кирпичный
АН 812;Кировский;Маршала Говорова;22.10;Кировский завод;4;6;2;52.9;40000;кирпичный
NEDmax;Калининский;Бутлерова;24;Академическая;5;5;3;55.0;40000;кирпичный
Capital Mars;Калининский;проспект Непокоренных;49к2;Площадь Мужества;9;17;1;40.0;42000;кирпичный
Елисеевский квартал;Московский;1-й Предпортовый проезд;15;Ленинский проспект;14;19;1;40.9;43000;кирпичный
Адвекс;Кировский;проспект Ветеранов;47;Проспект Ветеранов;11;12;2;42.7;40000;кирпичный
ID 81931595;Выборгский;Федора Абрамова;8;Парнас;19;27;2;56.0;40000;кирпичный
ID 15701403;Выборгский;2-й Муринский проспект;29;Площадь Мужества;3;13;2;53.0;40000;кирпичный
ID 11431906;Красногвардейский;Пискаревский проспект;37;Лесная;5;13;2;48.0;40000;кирпичный
ID 129798992;Петродворцовый;Чебышевская;4к2;;5;5;2;52.0;40000;кирпичный
Этажи Санкт-Петербург;Приморский;Богатырский проспект;6;Пионерская;9;15;1;40.0;45000;кирпичный
;Адмиралтейский;Псковская;1/13;Нарвская;1;4;-1;15.0;45000;кирпичный
МОНОЛИТ ПЛЮС;Фрунзенский;Будапештская;31К2;Проспект Славы;12;14;2;55.0;40000;кирпичный
ID 10220194;Приморский;Ланское шоссе;13;Черная речка;2;5;2;40.9;47000;кирпичный
ID 7080262;Калининский;Кондратьевский проспект;57;Выборгская;5;5;3;75.0;40000;кирпичный
Capital Mars;Приморский;Коломяжский проспект;15к1;Пионерская;4;25;1;35.0;45000;кирпичный
Панорама;Фрунзенский;Малая Балканская;20;Купчино;12;25;1;41.4;43000;кирпичный
ID 15817437;Приморский;Коломяжский проспект;15к1;Пионерская;4;25;1;35.0;45000;кирпичный
ID 3035266;Центральный;Суворовский проспект;43-45;Чернышевская;1;5;1;18.0;45000;кирпичный
Capital Mars;Адмиралтейский;Гражданская;14;Садовая;2;4;1;15.0;45000;кирпичный
ID 96960897;Петродворцовый;Орловская;4к2;Ленинский проспект;6;6;2;50.5;48000;кирпичный
ID 93215148;Невский;проспект Обуховской обороны;227К2;Пролетарская;4;5;2;58.0;38000;кирпичный
ID 21571097;Адмиралтейский;Бронницкая;7;Технологический институт;3;5;1;33.0;43000;кирпичный
ID 48967067;Выборгский;Новолитовская;5;Лесная;2;5;2;47.13;48000;кирпичный
Адвекс;Красногвардейский;Новочеркасский проспект;9;Новочеркасская;10;14;2;54.6;45000;кирпичный
ID 40966010;Красногвардейский;проспект Маршала Блюхера;42;Лесная;6;12;2;50.2;43000;кирпичный
ID 107317643;Выборгский;проезд Толубеевский;38к3;Парнас;13;25;3;66.0;45000;кирпичный
ID 23418442;Выборгский;Северный проспект;26к2;Озерки;2;14;2;65.0;43000;кирпичный
ID 75357304;Кировский;Васи Алексеева;17;Кировский завод;2;5;2;45.0;45000;кирпичный
ID 126331351;Московский;проспект Космонавтов;61к1;Звездная;8;24;1;44.2;49000;кирпичный
ID 192739;Невский;Ольминского;5;Елизаровская;12;17;1;44.0;45000;кирпичный
ID 79257541;Московский;проспект Космонавтов;37;Московская;13;26;1;36.0;45000;кирпичный
Sever Group;Красносельский;Ленинский проспект;80к1;Ленинский проспект;4;12;1;50.0;45000;кирпичный
Golden Home;Невский;Дыбенко;15К2;Улица Дыбенко;6;14;1;37.0;45000;кирпичный
Итака;Кировский;Ленинский проспект;130/6;Ленинский проспект;8;9;2;47.3;45000;кирпичный
Лабецкий Недвижимость;Приморский;Ивинская;19к3;Беговая;18;22;2;52.0;50000;кирпичный
Capital Mars;Василеостровский;Кораблестроителей;12к2;Приморская;8;13;1;38.0;45000;кирпичный
Прима-Недвижимость;Приморский;Оптиков;37;Старая Деревня;8;8;1;40.0;50000;кирпичный
ТРИАДА;Кировский;Дачный проспект;19К1;Проспект Ветеранов;5;9;3;59.3;42000;кирпичный
Этажи Санкт-Петербург;Кировский;Васи Алексеева;26;Кировский завод;3;5;2;43.0;45000;кирпичный
ID 21111594;Курортный;Гагаринская;77к1;Беговая;2;10;1;37.5;47000;кирпичный
ID 65600431;Петроградский;проспект Большой Петроградской стороны;82;Петроградская;4;7;1;18.0;45000;кирпичный
ID 65619473;Адмиралтейский;набережная Реки Фонтанки;171;Балтийская;1;4;1;12.0;45000;кирпичный
ID 70244693;Адмиралтейский;1-я Красноармейская;24;Технологический институт;3;4;1;40.9;50000;кирпичный
ID 75119394;Калининский;проспект Науки;17к2;Академическая;9;24;1;40.0;50000;кирпичный
ID 122259914;Приморский;Коломяжский проспект;15к2;Пионерская;6;25;1;28.0;50000;кирпичный
ID 126475249;Калининский;Верности;10К4;Академическая;5;9;2;42.0;45000;кирпичный
ID 31409764;Красносельский;Партизана Германа;6;Ленинский проспект;3;9;3;75.6;50000;кирпичный
Дмитрий  Карев;Невский;проспект Солидарности;10К2;Проспект Большевиков;7;16;2;52.3;45000;кирпичный
ID 13636823;Кронштадтский;Тулонская аллея;12;;3;4;1;25.0;47000;кирпичный
ID 72746225;Адмиралтейский;11-я Красноармейская;6;Балтийская;2;5;2;60.0;50000;кирпичный
Александр Пьянков;Московский;проспект Космонавтов;61к1;Звездная;5;20;1;46.0;45000;кирпичный
ID 90569850;Василеостровский;Кораблестроителей;12к2;Приморская;8;13;1;38.0;45000;кирпичный
Екатерина Васильева;Невский;Крупской;11;Елизаровская;5;5;1;40.0;45000;кирпичный
ID 102539641;Приморский;проспект Сизова;25;Комендантский проспект;18;25;1;40.0;45000;кирпичный
